Date,Article Title,Opperative,City/Town,State/Provence,Country,Reference,WB?,Affected,Duration,Infrastructure,Holiday,Fire / Death / Notes,Species,Alt URL
2020-11-17,Squirrelly situation: Critter causes South Carolina outages,Squirrel,Columbia,SC,United States,https://apnews.com/article/matt-long-columbia-power-outages-south-carolina-55e4941922ad8f3ca621e7abcad81b9e,,1800,,,,,,
2020-11-03,Omaha squirrel behind election office blackout has died,Squirrel,Omaha,NE,United States,https://www.wowt.com/2020/11/03/omaha-squirrel-behind-election-office-blackout-has-died/,Y,-,120,voting,,,,
2020-05-08,Bull's bid to scratch 'itchy bum' cuts off power to 800 homes,Cow,Chapelton,South Lanarkshire,Scotland,https://www.bbc.com/news/uk-scotland-glasgow-west-52591605,Y,800,300,,,,,
2019-10-23,Squirrel blamed for morning power outage in SW Topeka,Squirrel,Topeka,KS,United States,https://www.wibw.com/content/news/3000-without-power-in-SW-Topeka-563701701.html,Y,4000,60,traffic lights,,,,
2019-09-12,A Cona un topo manda in tilt l’erogazione diretta dei farmaci,Mouse,Cona,,Italy,https://www.estense.com/?p=806648,Y,-,-,,,,,
2019-08-11,Large power outage affects Purdue campus ahead of move-in day,Squirrel,West Lafayette,IN,United States,https://www.wthr.com/article/news/local/indiana/large-power-outage-affects-purdue-campus-ahead-move-day/531-47e1212c-3b74-4354-a33a-479460d3186c,Y,4400,450,,,,,
2019-06-25,Squirrel causes power outage that closes Mahoning County Courthouse,Squirrel,Youngstown,OH,United States,https://www.wkbn.com/news/local-news/mahoning-county-courthouse-closed-due-to-power-outage/,Y,21,50,courthouse,,,,
2019-06-21,Rogue slug blamed for Japanese railway chaos,Slug,,Kyushu ,Japan,https://www.bbc.com/news/world-asia-48729110,Y,-,-,Trains,,,,
2019-06-20,Two-year-old leopard electrocuted in Sohna,Leopard,Lala Kherli ,Sohna,India,https://www.hindustantimes.com/cities/two-year-old-leopard-electrocuted-in-sohna/story-iIcXN4DyN4KFjdvCwPKm9M.html,Y,-,-,,,,,
2019-06-14,Fallen bird's nest cause of power outage at Tropicana Field,Bird Nest,St Petersburg,FL,United States,https://www.fox13news.com/news/fallen-birds-nest-cause-of-power-outage-at-tropicana-field,Y,-,-,,,,,
2019-06-05,Avian incident' causes fire at California solar farm,Bird,San Luis Obispo,CA,United States,https://www.sfgate.com/news/us/article/Avian-incident-causes-fire-at-California-solar-14025718.php,Y,-,-,fire solar,,1200 acre fire,,https://www.latimes.com/local/lanow/la-me-ln-avian-solar-fire-20190620-story.html
2019-06-03,GPA: Electrocuted cat caused outage,Cat,Mangilao,Guam,United States,https://www.postguam.com/news/local/gpa-electrocuted-cat-caused-outage/article_141178c4-8505-11e9-b8e3-830692cf65de.html,Y,-,120,,,,,
2019-05-23,Squirrel causes east-end transformer fire that led to power outage,Squirrel,Toronto,ON,Canada,https://toronto.citynews.ca/2019/05/23/squirrel-causes-east-end-transformer-fire-that-led-to-power-outage/,Y,4000,-,,,,,
2019-05-16,"Squirrel disrupts power to more than 2,000 in Brewer area",Squirrel,Bewer,ME,United States,https://bangordailynews.com/2019/05/16/news/bangor/squirrel-disrupts-power-to-more-than-2000-in-brewer-area/,Y,2400,30,,,,,
2019-03-08,"Squirrel Cuts Power To 3,000 Weymouth Homes",Squirrel,Weymouth,MA,United States,https://patch.com/massachusetts/weymouth/weymouth-power-outage-over-3-000-homes-dark,Y,3400,43,,,,,
2019-01-19,"Bird collides with power system, knocks out electricity and most traffic lights in Hammond",Bird,Hammond,LA,United States,http://www.wbrz.com/news/bird-collides-with-power-system-knocks-out-electricity-and-most-traffic-lights-in-hammond/,Y,22000,-,,,,,
2019-01-17,"Norfolk high school dismisses early after squirrel chews through cable, causes major power outage",Squirrel,Norfolk,VA,United States,https://wtkr.com/2019/01/17/norfolk-high-school-dismisses-early-after-transformer-issue-causes-major-power-outage/,Y,-,-,,,,,
2019-01-16,"Squirrel cuts power to 1,400 in downtown Bangor",Squirrel,Bangor,ME,United States,https://bangordailynews.com/2019/01/16/news/bangor/more-than-1100-customers-in-downtown-bangor-lose-power/,Y,1400,60,transformer explosion,,transformer explosion,,
2019-01-16,"Fire, power outage caused by squirrel nes",Squirrel,Trinity,CA,United States,http://www.trinityjournal.com/news/local/article_f9575942-1928-11e9-84df-4f66d31886b6.html,Y,-,-,,,,,
2019-01-16,"Squirrel cuts power to 1,400 in downtown Bangor",Squirrel,Bangor,MN,United States,https://bangordailynews.com/2019/01/16/news/bangor/more-than-1100-customers-in-downtown-bangor-lose-power/,Y,1400,60,,,,,
2019-01-04,Squirrel knocks out power to south end of Red Bluff,Squirrel,Red Bluff,CA,United States,https://www.redbluffdailynews.com/2019/01/04/squirrel-knocks-out-power-to-south-end-of-red-bluff/,Y,1700,-,,,,,
2018-12-31,Raccoon causes power outage in Florida community,Raccoon,Kissimmee,FL,United States,https://www.abcactionnews.com/news/state/raccoon-causes-power-outage-in-florida-community,Y,3000,-,,,,,
2018-12-18,"A week before Christmas, squirrel shuts down power to mall, thousands more, Duke says",Squirrel,Andersen,SC,United States,https://www.heraldsun.com/news/state/south-carolina/article223279590.html,Y,4000,120,,,,,
2018-12-18,Squirrel to blame for Athens power outage,Squirrel,Athens,TN,United States,http://www.wrcbtv.com/story/39661748/squirrel-to-blame-for-athens-power-outage,Y,1600,120,,,,,
2018-12-12,Power Restored After Squirrel in Substation Left 5 West Des Moines Schools Without Electricity,Squirrel,West Des Moines,IA,United States,https://whotv.com/2018/12/12/squirrel-in-substation-leaves-5-west-des-moines-schools-without-power/,Y,1000,-,,,,,
2018-12-05,"Squirrel knocks out power for nearly 2,000 Vectren customers",Squirrel,Vectren,IN,United States,https://www.courierpress.com/story/news/2018/12/05/squirrel-knocks-out-power-nearly-2-000-downtown-vectren-customers/2216077002/,Y,2000,30,,,,,
2018-11-28,"UPDATE: Power restored, squirrel to blame for outage",Squirrel,Fortis,BC,Canada,https://globalnews.ca/news/4707655/update-power-restored-squirrel-to-blame-for-outage/,Y,5500,-,,,,,
2018-11-28,Squirrel behind power outage in southern Illinois,Squirrel,Benton,IL,United States,https://www.wpsdlocal6.com/2018/11/28/thousands-without-power-in-southern-illinois/,Y,1500,-,,,,,
2018-11-27,Squirrel causes afternoon power outage in Sioux City,Squirrel,Sioux City,IA,United States,https://www.siouxlandproud.com/news/local-news/squirrel-causes-afternoon-power-outage-in-sioux-city/1623289383,Y,1400,-,,,,,
2018-11-26,"Squirrel causes power outage, traps people in elevators",Squirrel,Roanoke,VA,United States,https://www.upi.com/Odd_News/2018/11/26/Squirrel-causes-power-outage-traps-people-in-elevators/5301543257067/#ixzz5dFpFBGsu,Y,-,,,,,,
2018-11-26,Squirrel shenanigans bring downtown Roanoke commerce to a halt,Squirrel,Roanoke,VA,United States,https://www.roanoke.com/news/local/roanoke/electricity-restored-to-downtown-roanoke-after-squirrel-causes-power-outage/article_0a347eac-f188-11e8-8c73-07031dd3d0ce.html,Y,600,-,Courthouse Library City Hall,,,,
2018-11-19,Power failure: Suddenly everything was dark,Squirrel,Herzogenaurach,,Germany,"https://www.infranken.de/regional/erlangenhoechstadt/stromausfall-ploetzlich-war-alles-dunkel;art215,3861850",Y,-,20,,,,,
2018-11-19,Squirrel Blamed For Upstate NY Power Outage,Squirrel,New York,NY,United States,https://newyork.cbslocal.com/2018/11/19/squirrel-power-outage/,Y,-,-,,,,,
2018-11-18,"Squirrel knocks out power for more than 12,500 in Erie County",Squirrel,Erie,NY,United States,https://buffalonews.com/2018/11/18/more-than-12500-without-power-in-erie-county/,Y,12500,-,,,,,
2018-11-16,"Power restored in Jennings after squirrel causes outage for over 2,000",Squirrel,Jennings,LA,United States,http://www.kplctv.com/2018/11/17/over-without-power-jennings/,Y,2000,-,,,,,
2018-11-09,Video shows sparks fly as bird causes power outage in Clark County,Bird,Enon,OH,United States,https://www.whio.com/news/local/large-outage-impacts-over-500-customers-montgomery-county/1qk3sVvFfERPwb5EcxJlHI/,Y,12000,-,,,,,
2018-11-06,"Poll workers, voters undaunted by squirrel-induced Election Day power outage in Blacksburg",Squirrel,Blacksburg,VA,United States,https://www.roanoke.com/news/politics/poll-workers-voters-undaunted-by-squirrel-induced-election-day-power/article_20f519cd-15de-530a-8fe9-4c8fdc2d7e5f.html,Y,-,120,Voting,,,,
2018-10-31,"Animal guard no match for red squirrel, whose shenanigans cut power for thousands of Mainers",Squirrel,Portland,ME,United States,https://bangordailynews.com/2018/10/31/news/portland/animal-guard-no-match-for-red-squirrel-whose-shenanigans-cut-power-for-thousands-of-mainers/,Y,3400,-,,,,,
2018-10-26,"Squirrel causes brief power outage to about 3,500 customers in Oshkosh",Squirrel,Oshkosh,WI,United States,https://www.thenorthwestern.com/story/news/local/oshkosh/2018/10/26/power-outage-affects-downtown-oshkosh/1779709002/,Y,3500,50,,,,,
2018-10-25,Squirrel briefly cuts off power in part of Longmont Thursday afternoon,Squirrel,Longmont,CO,United States,http://www.timescall.com/longmont-local-news/ci_32230850/squirrel-briefly-cuts-off-power-part-longmont-thursday,Y,-,-,,,,,
2018-10-24,"Charleston County power outages were caused by wildlife, SCE&G says",Squirrel,Charleston,SC,United States,https://www.postandcourier.com/news/charleston-county-power-outages-were-caused-by-wildlife-sce-g/article_0406f084-d79b-11e8-b368-1f8b8a585dc4.html,Y,3000,120,,,,,
2018-10-18,City of Stillwater says animal caused Wednesday's power outage,Animal,Sillwater,OK,United States,https://www.stwnewspress.com/news/city-of-stillwater-says-animal-caused-wednesday-s-power-outage/article_414750e6-d2fb-11e8-8717-27b5f4f33d78.html,Y,4400,60,,,,,
2018-10-16,Rats paralyze Biel city center,Rat,Biel,,Switzerland,https://www.20min.ch/schweiz/bern/story/Biel-ist-in-Schwarz-gehuellt-19015100,Y,-,88,,,,,https://www.rjb.ch/rjb/Actualite/Region/20181016-Des-rats-provoquent-une-panne-de-courant.html
2018-10-15,"Squirrel knocks out power to 2,296 in New Jersey",Squirrel,Hackettstown,NJ,United States,https://www.upi.com/Odd_News/2018/10/15/Squirrel-knocks-out-power-to-2296-in-New-Jersey/4351539628341/#ixzz5dFoqxguV,Y,2900,-,,,,,
2018-09-27,Hungry Siberian Beaver Leaves Hundreds of Locals Without Electricity,Beaver,Altai,Soltonsky,Russia,https://themoscowtimes.com/news/hungry-siberian-beaver-leaves-hundreds-locals-without-electricity-63008,Y,1500,-,,,,,http://www.interfax-russia.ru/Siberia/news.asp?id=969615&sec=1672
2018-09-17,"Power restored to 7,500 New Orleans customers after 'unusual' cat intrusion, Entergy says",Cat,New Orleans,LA,United States,https://www.theadvocate.com/new_orleans/news/article_7a06c302-ba88-11e8-90d8-8b5b8dd6d059.html,Y,7500,165,traffic lights,,,,https://www.nola.com/business/index.ssf/2018/09/power_outage_midcity_uptown.html
2018-09-16,Bas-en-Basset: a bird deprives several hundred households of electric current,Bird,La Mure,,France,https://www.lacommere43.fr/monistrol-et-environs/item/17639-bas-en-basset-un-oiseau-prive-plusieurs-centaines-de-foyers-de-courant-electrique.html,Y,-,-,,,,,
2018-09-12,"1,700 people lose power in Mt. Horeb",Animal,Mt. Horeb,WI,United States,https://www.channel3000.com/news/1-700-people-lose-power-in-mt-horeb-after-squirrel-causes-transformer-failure/794222339,Y,1700,90,,,,,
2018-09-12,"Squirrel causes power outage in South Tyler, more than 1,000 affected",Squirrel,South Tyler,TX,United States,https://www.cbs19.tv/article/news/local/squirrel-causes-power-outage-in-south-tyler-more-than-1000-affected/501-593537474,Y,1000,-,,,,,
2018-09-12,SQUIRREL CAUSES POWER OUTAGE AT MANCHESTER MIDDLE SCHOOL,Squirrel,Manchester,MA,United States,http://wobm.com/squirrel-causes-power-outage-at-manchester-middle-school/,Y,500,-,,,,,
2018-09-10,Squirrels Blamed For North Shore Power Outages,Squirrel,Boston,MA,United States,https://boston.cbslocal.com/2018/09/10/squirrels-power-outages-reading-wilmington/,Y,-,-,,,,,
2018-09-10,"Squirrel in Newmarket knocks out power for 11,000 homes in Stouffville",Squirrel,Newmarket,,Canada,https://www.yorkregion.com/news-story/8891648-squirrel-in-newmarket-knocks-out-power-for-11-000-homes-in-stouffville/,Y,11000,420,,,,,
2018-09-04,Raccoon Causes Power Outage,Raccoon,Greeneville,NC,United States,https://www.greenevillesun.com/news/local_news/raccoon-causes-power-outage/article_0cae760e-f5de-56d1-bc68-ca2c364bb386.html,Y,3400,-,,,,,
2018-09-03,Power restored after widespread outage in northeast metro Denver,Snake,Commerace City,CO,United States,https://kdvr.com/2018/09/03/widespread-power-outage-reported-in-northeast-metro-denver/,Y,-,-,,,,,
2018-08-28,A dormouse plunges the city of Orbe in the dark,Mouse,Orbe,,Switzerland,https://www.20min.ch/ro/news/vaud/story/Un-loir-plonge-la-ville-d-Orbe-dans-le-noir-29820574,Y,2500,56,,,,,https://www.24heures.ch/vaud-regions/nord-vaudois-broye/loir-prive-2500-foyers-electricite/story/16062636
2018-08-28,Squirrel causes power outage in Grass Valley,Squirrel,Grass Valley,CA,United States,https://www.theunion.com/news/local-news/squirrel-causes-power-outage-in-grass-valley/,Y,1200,-,,,,,
2018-08-25,Squirrel knocks out power for thousands in North Spokane,Squirrel,Spokane,WA,United States,https://www.kxly.com/news/squirrel-knocks-out-power-for-thousands-in-north-spokane/786236317,Y,6000,-,,,,,
2018-08-24,It looks like a raccoon caused some trouble,Raccoon,Columbus,OH,United States,https://twitter.com/AEPnews/status/1032975571624624134,Y,-,-,,,,,
2018-08-24,Animal causes power outage for nearly 3K,Animal,San Diego,CA,United States,https://fox5sandiego.com/2018/08/24/animal-causes-power-outage-for-nearly-3k/,Y,3000,,-,,,,
2018-08-24,Beaver causes power outage affecting 595 Consumer Energy customers,Beaver,Marshalltown,IA,United States,http://www.timesrepublican.com/news/todays-news/2018/08/beaver-causes-power-outage-affecting-595-consumer-energy-customers-2/,Y,595,-,,,,,
2018-08-24,Bird's nest too close to electrical lines sparks house fire,Bird,San Antonio,TX,United States,https://foxsanantonio.com/news/local/birds-nest-too-close-to-electrical-lines-sparks-house-fire,Y,,,,,,,
2018-08-23,NV Energy 'does not pay for bird-related damage' when old power poles spark fires,Bird,WASHOE VALLEY,NV,United States,https://mynews4.com/news/local/nv-energy-does-not-pay-for-bird-related-damage-when-old-power-poles-spark-fires,Y,-,-,,,,,
2018-08-23,Squirrel that tripped  a fuse on Sunset Lane,Squirrel,Portland,MA,United States,https://twitter.com/Unitil/status/1032620875403722752,Y,-,-,,,,,
2018-08-23,Bird causes power outage,Bird,El Paso,TX,United States,https://twitter.com/ElPasoElectric/status/1032633174952763393,Y,-,-,,,,,
2018-08-23,Power restored; outage caused by a bird,Bird,Palo Alto,CA,United States,https://padailypost.com/2018/08/23/power-outage-reported-in-palo-alto/,Y,240,60,,,,,
2018-08-21,Squirrel causes power outage,Squirrel,Arab,AL,United States,http://www.thearabtribune.com/news/squirrel-causes-power-outage/image_6c46abe2-b2b3-11e8-bef3-fb8cb7f31b25.html,Y,-,-,,,,,
2018-08-20,bird of prey provides in stone for power failure,Bird,Zollernalbkreis,,Germany,https://www.schwarzwaelder-bote.de/inhalt.hechingen-greifvogel-sorgt-in-stein-fuer-stromausfall.6fcc22b3-6160-4455-8590-55cf0aa98215.html,Y,-,-,fire,,fire,,
2018-08-19,raccoon got into the regulator.,Raccoon,Lake City,AR,United States,https://twitter.com/CraigheadCoop/status/1031358324342706176,Y,-,-,,,,,
2018-08-19,"Bird causes chain reaction, causing 6,000 to lose power",Bird,Butte,MT,United States,https://mtstandard.com/news/local/bird-causes-chain-reaction-causing-to-lose-power/article_ff300eba-8356-58c2-b344-bb467d2080f2.html,Y,-,-,,,,,
2018-08-17,Post area outage which impacted 385 members was caused by an animal in the lines,Animal,Redmond,OR,United States,https://twitter.com/CentralElectric/status/1030462447704924160,Y,-,-,,,,,
2018-08-17,Cause of outage: animal interference. RIP birdie,Bird,Ottawa,ON,Canada,https://twitter.com/hydroottawa/status/1030423365281042434,Y,-,-,,,,,
2018-08-16,Looks like outage was caused by a bird or an animal,Animal,Seattle,WA,United States,https://twitter.com/SEACityLight/status/1030283143583019008,Y,-,90,,,,,
2018-08-16,"An outage is affecting 99 customers in Piperville Rd, Hall Rd and Boundary Rd area. We're told a squirrel is having a very bad day.",Squirrel,Ottawa,ON,Canada,https://twitter.com/hydroottawa/status/1030106017848283138,Y,-,-,,,,,
2018-08-16,HAWK CARRYING SQUIRREL KNOCKS OUT POWER IN PARTS OF SOUTH TUPELO,Squirrel,Columbus,MS,United States,https://www.wcbi.com/hawk-carrying-squirrel-knocks-out-power/,Y,-,-,,,,,
2018-08-15,The cause was a raccoon making contact with electrical equipment.,Raccoon,Huntsville,AL,United States,https://twitter.com/HSVUtilities/status/1029643778024460288,Y,-,-,,,,,
2018-08-14,"Power restored in Meriden after more than 3,000 outages reported Tuesday morning",Animal,Meriden,CT,United States,http://www.myrecordjournal.com/News/Meriden/Meriden-News/Power-outage-reported-in-Meriden.html,Y,3000,-,,,,,
2018-08-14,Cause of outage was from a blown fuse resulting from a squirrel making contact with a live conductor.,Squirrel,North Bay,ON,Canada,https://twitter.com/NBHydro/status/1029435430964473857,Y,,,,,,,
2018-08-13,Squirrel causes power outage in northern Manhattan,Squirrel,Manhattan,KS,United States,https://www.wibw.com/content/news/Thousands-without-power-in-northern-Manhattan-490672841.html,Y,-,-,,,,,
2018-08-09,Squirrel blamed for internet blackout,Squirrel,Montpelier,VT,United States,https://vtdigger.org/2018/08/09/squirrel-blamed-internet-blackout/,Y,-,-,,,,,
2018-08-08,Squirrel causes power surge in Marquette early this morning,Squirrel,Marquette,MI,United States,https://www.uppermichiganssource.com/content/news/Squirrel-causes-power-surge-in-Marquette-early-this-morning-490367201.html,Y,,,,,,,
2018-07-30,Centralia Power Outage Sunday Caused by Squirrel,Squirrel,Centralia,WA,United States,http://www.chronline.com/crime/centralia-power-outage-sunday-caused-by-squirrel/article_0d6182ee-9429-11e8-880c-cbd7ff614aa4.html,Y,850,,,,,,
2018-07-28,The outage in your area was caused by a raccoon. Crews were able to identify the problem and make repairs to restore the power quickly.,Raccoon,Nashville,TN,United States,https://twitter.com/NESpower/status/1023276733225680896,Y,-,-,,,,,
2018-07-27,Power has been restored to all customers at approximately 11:00 a.m. A bird was reported as the cause of the outage,Bird,El Paso,TX,United States,https://twitter.com/ElPasoElectric/status/1022892682505596929,Y,-,-,,,,,
2018-07-27,Squirrel caused Brewer power outage that affected some traffic lights,Squirrel,Brewer,ME,United States,https://bangordailynews.com/2018/07/27/news/bangor/brewer-power-outage-affects-some-traffic-lights-friday-morning/,Y,3000,30,,,,,https://twitter.com/emerame/status/1022830713391996928
2018-07-27,Animal causes power outage in Bay County,Animal,Bay City,MI,United States,https://nbc25news.com/news/local/animal-causes-power-outage-in-saginaw-county,Y,1700,-,,,,,
2018-07-25,"Over 6,000 in Knoxville lost power after squirrel entered power substation",Squirrel,Knoxville,TN,United States,https://www.wate.com/news/local-news/over-6-000-without-power-in-knoxville-after-squirrel-enters-substation/1322509550,Y,6000,60,,,,,
2018-07-25,Con Edison quickly restoring service to Maspeth and Middle Village after morning power outages,Squirrel,Maspeth,NY,United States,https://qns.com/story/2018/07/25/squirrel-apparently-blame-sparking-power-outage-middle-village-affecting-500-con-ed-customers/,Y,500,40,,,,,
2018-07-24,Squirrel being blamed for brief power outage,Squirrel,Coldwater,MI,United States,http://wtvbam.com/news/articles/2018/jul/24/curious-squirrel-being-blamed-for-brief-power-outage/,Y,-,-,,,,,
2018-07-24,We had a outage at 8:00 PM for 35 minutes that affected 74 customers from 12th Ave S to 20 Ave S between 15th and 16th St S. Squirrel,Squirrel,Moorhead,MN,United States,https://twitter.com/mpsutility/status/1021938150451621888,Y,74,-,,,,,
2018-07-22,This morning there was an outage in the Lakeside Ave./Austin Drive/ lower Main Street areas due to animal contact. All power has been restored thank you for your patience.,Animal,Burlington,VT,United States,https://twitter.com/BurlingtonElec/status/1021023210760962048,Y,-,-,,,,,
2018-07-22,"Motorist swerves to avoid raccoon, crashing car into power pole",Raccoon,Dartmouth,NH,United States,https://atlantic.ctvnews.ca/motorist-swerves-to-avoid-raccoon-crashing-car-into-power-pole-1.4023340,Y,-,-,,,,,
2018-07-20,"Squirrel-caused power outage hits 4,700 in southern Bend",Squirrel,Bend,OR,United States,https://www.ktvz.com/news/squirrel-caused-power-outage-hits-4-700-in-southern-bend/770895735,Y,4700,240,,,,,
2018-07-20,Our #FitchburgMA system is experiencing an outage affecting ~439 customers. Crews are on scene working quickly and safely to restore power. The outage was a result of a squirrel.,Squirrel,Fitchburg,MA,United States,https://twitter.com/Unitil/status/1020689076461211653,Y,439,-,,,,,
2018-07-19,Squirrel determined to be cause of power outage at housing complex,Squirrel,Killeen,TX,United States,http://kdhnews.com/news/local/squirrel-determined-to-be-cause-of-power-outage-at-housing/article_75bffa42-8ae1-11e8-9256-0ba680d82628.html,Y,-,840,,,,,
2018-07-19,"Outage affecting North West portion of Regina affecting Coventry Place, Westhill, Normanview West, McNab Park, Dieppe, Rosemont and FairwaysWest. Power has been restored, was affected due to a squirrel coming in contact with equipment",Bird,Westhill,SK,Canada,https://twitter.com/SaskPower/status/1019972985556488194,Y,-,-,,,,,
2018-07-18,The outage on Thoroughbred has been restored and was caused by a squirrel. Thank you for your patience.,Squirrel,Thoroughbred,OH,United States,https://twitter.com/BGMU/status/1019561869118406658,Y,-,-,,,,,
2018-07-16,"squirrels were the cause of the two early morning momentary outages over the weekend. When a squirrel, or other wildlife, comes into contact with the power lines, the breaker trips and then quickly resets",Squirrel,Guelph,OT,Canada,https://twitter.com/GuelphHydro/status/1018863673908105218,Y,-,-,,,,,
2018-07-16,Raccoon causes widespread power outages in Iberia and St. Martin,Raccoon,St. Martin,LA,United States,http://www.katc.com/story/38650575/raccoon-causes-widespread-power-outages-in-iberia-and-st-martin,Y,-,60,,,,,
2018-07-16,This is nuts: Second squirrel in a week causes power outages in EBR,Squirrel,Baton Rouge,LA,United States,http://www.wbrz.com/news/this-is-nuts-second-squirrel-in-a-week-causes-power-outages-in-ebr/,Y,2700,-,,,,,
2018-07-14,"Power has been restored to over 5,000 accounts in the Bend-Alfalfa area. @CentralElectric and Pacific Power crews report a bird flew between two phases of power lines which caused a breaker to flip along main transmission lines feeding the area. #cecserviceinfro #cecoutage",Squirrel,Bend,OR,United States,https://www.ktvz.com/news/bird-knocks-out-power-to-10-000-cec-members/768103908,Y,10000,-,,,,,
2018-07-14,Power restored to more than 600 FM area residents after outage,Animal,Fargo,ND,United States,https://inforum.com/news/government-and-politics/4472836-power-restored-more-600-fm-area-residents-after-outage,Y,600,-,,,,,
2018-07-13,Another squirrel causes power outage,Squirrel,Morganton,WV,United States,https://www.morganton.com/news/another-squirrel-causes-power-outage/article_6efcb3ce-86d3-11e8-9788-2b501c0e2b77.html,N,1400,-,,,,,
2018-07-13,"Friday, 13th, began in Turku: the squirrel dropped to the transformer, electricity fell out of 1,600 economics",Squirrel,Turku,,Finland,http://www.ts.fi/uutiset/paikalliset/4017341/Perjantai+13+paiva+alkoi+Turussa+orava+karistyi+muuntamoon+sahkot+poikki+1+600+taloudelta,Y,1300,,,,,,
2018-07-12,Bird causes power outage in Grand Junction,Bird,Grand Junction,CO,United States,http://www.kjct8.com/content/news/Bird-causes-power-outage--488067781.html,Y,-,-,,,,,
2018-07-12,Australian Ballet performance cut short by rat,Rat,Adelaide ,,Australia,https://www.bbc.com/news/world-australia-44803286,Y,-,-,,,,,
2018-07-12,That's nuts! Squirrel to blame for downtown blackout,Squirrel,London,ON,Canada,https://lfpress.com/news/local-news/power-restored-after-morning-outage-hits-downtown-old-south,Y,12000,15,,,,,
2018-07-12,The cause was animal contact with a transformer. Approximately 5 customers affected. Restoration time was 8:15 am.,Animal,North Bay,ON,Canada,https://twitter.com/NBHydro/status/1017384099600793602,Y,5,-,,,,,
2018-07-11,"Consumers: Animal to blame for outage in GR, Wyoming",Animal,Grand Rapids,WY,United States,https://www.woodtv.com/news/kent-county/3-500-customers-without-power-in-grand-rapids-wyoming/1295308575,Y,3560,120,,,,,
2018-07-10,Power restored after squirrel causes outages in EBR,Squirrel,Baton Rouge,LA,United States,http://www.wbrz.com/news/power-restored-after-squirrel-causes-outages-in-ebr/,Y,2700,180,,,,,
2018-07-09,"Bird causes power outage affecting nearly 2,100 East Topeka homes, businesses",Bird,Topeka,KS,United States,http://www.cjonline.com/news/20180709/bird-causes-power-outage-affecting-nearly-2100-east-topeka-homes-businesses,Y,2100,-,,,,,
2018-07-08,Power restored in Wellsburg after squirrel causes outage,Squirrel,Wellsburg,WV,United States,https://wtov9.com/news/local/power-restored-in-wellsburg-after-squirrel-causes-outage,Y,-,-,,,,,
2018-07-06,Rogue raccoon blacks out city power grid after shocking misstep,Raccoon,Seattle,WA,United States,https://www.theregister.co.uk/2018/07/06/raccoon_blacks_out_seattle_power_grid/,Y,6000,-,,,,,
2018-07-05,There was a power outage on Plumtree Place.  The cause was animal contact with a transformer.  Approximately 15 customers were affected.  Power restored at 8 am,Animal,North Bay,ON,Canada,https://twitter.com/NBHydro/status/1014841194638200832,Y,15,-,,,,,
2018-07-04,Burning bird falls from railway power line then torches field in Germany,Bird,,,Germany,http://newsinfo.inquirer.net/1007197/burning-bird-falls-from-railway-power-line-then-torches-field-in-germany,Y,5000,,,,,,
2018-07-04,Squirrel blamed for 700-customer power outage in Kitchener,Squirrel,Kitchener,,Canada,https://www.cbc.ca/news/canada/kitchener-waterloo/squirrel-blamed-for-700-customer-power-outage-in-kitchener-1.4733005,Y,700,-,,,,,
2018-07-04,Squirrel causes power outage in central Columbia,Squirrel,Columbia,MO,United States,http://www.abc17news.com/news/power-outage-affecting-residents-traffic-lights-in-central-columbia/762967926,Y,75,-,,,,,
2018-07-02,"Squirrel knocks out power to over 2,300 County resident",Squirrel,"PRESQUE ISLE,",MI,United States,http://www.wagmtv.com/content/news/Squirrel-knocks-out-power-to-over-2300-County-residents-487140621.html,Y,2300,-,,,,,
2018-07-01,PG&E: Bird strike responsible for widespread power outage in Petaluma,Bird,Petaluma,CA,United States,http://www.pressdemocrat.com/news/8491633-181/widespread-power-outage-affects-nearly,Y,17000,-,,,,,
2018-07-01,PGE says squirrel to blame for power outage in NW Portland,Squirrel,Portland,OR,United States,http://www.kptv.com/story/38551955/pge-says-squirrel-to-blame-for-power-outage-in-nw-portland,Y,2000,180,,,,,
2018-06-28,"Unlucky squirrel caused power outage, MUHC network failure",Squirrel,Montreal,ON,Canada,http://montrealgazette.com/news/unlucky-squirrel-caused-power-outage-muhc-network-failure,Y,-,-,,,,,
2018-06-28,"Tiny squirrel causes massive outage that leaves nearly 8,000 homes without power",Squirrel,Armagh,,Ireland,https://inews.co.uk/news/northern-ireland/tiny-squirrel-leaves-8000-homes-without-power/,Y,8000,-,,,,,
2018-06-28,Snake causes Wednesday night power outage in Ellis Count,Snake,Hays,KS,United States,http://www.hdnews.net/news/20180628/snake-causes-wednesday-night-power-outage-in-ellis-county,Y,4600,50,,,,,
2018-06-27,Damage caused by squirrel this morning resulting in unscheduled momentary outage affecting North St. Marblehead St. Central St. area North Reading.,Squirrel,Reading,MA,United States,https://twitter.com/readinglight/status/1011983753185505281,Y,,,,,,,
2018-06-26,Bird causes power outage in Stratford on Tuesday,Bird,Stratford,CT,United States,https://www.stratfordstar.com/82387/bird-causes-power-outage-in-stratford-on-tuesday/,Y,2000,-,,,,,
